Group,filopodia,thin,longthin,mushroom,stubby,bifurcated,motile,stable,total,GABAARs,Developmental Stage,Sex
L5-WT35-M,0,6,1,4,5,1,7,10,17,Yes,Pubertal,Male
L5-WT35-M,0,2,0,1,7,0,2,8,10,Yes,Pubertal,Male
L5-WT35-M,0,3,0,4,2,0,3,6,9,Yes,Pubertal,Male
L5-WT35-M,0,5,0,2,0,1,5,3,8,Yes,Pubertal,Male
L5-WT35-M,0,3,2,5,1,0,5,6,11,Yes,Pubertal,Male
L5-WT56-M,0,3,1,1,1,0,4,2,6,Yes,Postpubertal,Male
L5-WT56-M,0,2,1,3,1,0,3,4,7,Yes,Postpubertal,Male
L5-WT56-M,0,0,0,0,2,0,0,2,2,Yes,Postpubertal,Male
L5-WT56-M,2,4,0,0,1,0,6,1,7,Yes,Postpubertal,Male
L5-WT56-M,0,1,0,0,2,0,1,2,3,Yes,Postpubertal,Male
L5-WT56-M,0,1,0,2,2,0,1,4,5,Yes,Postpubertal,Male
L5-WT56-M,0,1,1,1,3,0,2,4,6,Yes,Postpubertal,Male
L5-WT56-M,0,5,0,0,0,0,5,0,5,Yes,Postpubertal,Male
L5-WT56-M,1,2,1,1,1,1,4,3,7,Yes,Postpubertal,Male
L5-WT56-M,0,6,0,0,0,1,6,1,7,Yes,Postpubertal,Male
L5-WT56-M,2,2,0,1,1,0,4,2,6,Yes,Postpubertal,Male
L5-WT56-M,0,3,1,0,0,0,4,0,4,Yes,Postpubertal,Male
L5-WT56-M,0,3,0,0,2,0,3,2,5,Yes,Postpubertal,Male
L5-WT56-M,0,4,2,1,0,0,6,1,7,Yes,Postpubertal,Male
L5-WT56-M,0,2,1,2,1,0,3,3,6,Yes,Postpubertal,Male
L5-WT56-M,1,2,0,4,1,0,3,5,8,Yes,Postpubertal,Male
L5-WT56-M,0,0,0,5,1,0,0,6,6,Yes,Postpubertal,Male
L5-WT56-M,1,2,0,1,3,0,3,4,7,Yes,Postpubertal,Male
L5-WT56-M,0,2,1,2,0,0,3,2,5,Yes,Postpubertal,Male
L5-WT56-M,1,3,0,1,1,0,4,2,6,Yes,Postpubertal,Male
L5-WT56-M,2,2,1,2,0,0,5,2,7,Yes,Postpubertal,Male
L5-WT56-M,2,5,0,1,0,0,7,1,8,Yes,Postpubertal,Male
L5-WT56-M,0,4,0,0,3,0,4,3,7,Yes,Postpubertal,Male
L5-WT56-M,1,3,1,0,0,0,5,0,5,Yes,Postpubertal,Male
L5-WT56-M,1,1,0,1,1,0,2,2,4,Yes,Postpubertal,Male
L5-WT56-M,0,4,0,0,3,0,4,3,7,Yes,Postpubertal,Male
L5-WT56-M,0,4,0,0,0,0,4,0,4,Yes,Postpubertal,Male
L5-WT56-M,0,5,0,0,1,0,5,1,6,Yes,Postpubertal,Male
L5-WT56-M,0,1,0,4,1,0,1,5,6,Yes,Postpubertal,Male
L5-WT56-M,0,4,0,1,1,0,4,2,6,Yes,Postpubertal,Male
L5-WT56-M,0,4,1,1,1,0,5,2,7,Yes,Postpubertal,Male
L5-WT56-M,0,1,0,2,2,0,1,4,5,Yes,Postpubertal,Male
L5-WT56-M,1,2,1,0,0,0,4,0,4,Yes,Postpubertal,Male
L5-WT56-M,0,2,1,1,1,0,3,2,5,Yes,Postpubertal,Male
L5-WT56-M,0,4,0,0,1,0,4,1,5,Yes,Postpubertal,Male
L5-WT56-M,0,3,0,1,1,0,3,2,5,Yes,Postpubertal,Male
L5-WT56-M,0,0,0,0,1,0,0,1,1,Yes,Postpubertal,Male
L5-WT56-M,1,1,1,2,2,0,3,4,7,Yes,Postpubertal,Male
L5-WT56-M,0,3,0,0,0,0,3,0,3,Yes,Postpubertal,Male
L5-WT56-M,3,1,0,2,0,0,4,2,6,Yes,Postpubertal,Male
L5-WT56-M,0,2,0,1,3,0,2,4,6,Yes,Postpubertal,Male
L5-WT56-M,0,2,0,0,1,0,2,1,3,Yes,Postpubertal,Male
L5-WT56-M,1,3,0,1,0,0,4,1,5,Yes,Postpubertal,Male
L5-WT56-M,0,4,1,1,1,0,5,2,7,Yes,Postpubertal,Male
L5-WT56-M,2,3,0,1,0,0,5,1,6,Yes,Postpubertal,Male
L5-WT56-M,1,1,1,2,0,0,3,2,5,Yes,Postpubertal,Male
L5-WT56-M,0,1,0,0,3,0,1,3,4,Yes,Postpubertal,Male
L5-WT56-M,0,1,0,4,1,0,1,5,6,Yes,Postpubertal,Male
L5-WT56-M,0,1,0,0,1,0,1,1,2,Yes,Postpubertal,Male
L5-WT56-M,0,2,0,1,0,0,2,1,3,Yes,Postpubertal,Male
L5-WT56-M,0,0,0,3,2,0,0,5,5,Yes,Postpubertal,Male
L5-WT56-M,0,4,1,0,0,1,5,1,6,Yes,Postpubertal,Male
L5-WT56-M,0,2,0,1,1,0,2,2,4,Yes,Postpubertal,Male
L5-WT56-M,0,1,1,2,1,0,2,3,5,Yes,Postpubertal,Male
L5-WT56-M,0,3,0,1,0,0,3,1,4,Yes,Postpubertal,Male
L5-WT56-M,0,1,0,1,4,0,1,5,6,Yes,Postpubertal,Male
L5-WT56-M,0,4,0,0,1,0,4,1,5,Yes,Postpubertal,Male
L5-WT56-M,0,5,0,1,0,0,5,1,6,Yes,Postpubertal,Male
L5-WT56-M,0,4,0,0,0,0,4,0,4,Yes,Postpubertal,Male
L5-WT56-M,0,2,0,0,2,0,2,2,4,Yes,Postpubertal,Male
L5-WT56-M,0,4,1,2,0,0,5,2,7,Yes,Postpubertal,Male
L5-F56-CRE,0,9,1,7,2,1,10,10,20,No,Postpubertal,Female
L5-F56-CRE,0,9,1,7,2,1,10,10,20,No,Postpubertal,Female
L5-F56-CRE,0,3,0,0,1,0,3,1,4,No,Postpubertal,Female
L5-F56-CRE,0,6,2,1,2,0,8,3,11,No,Postpubertal,Female
L5-F56-CRE,0,5,0,6,5,0,5,11,16,No,Postpubertal,Female
L5-F56-CRE,0,13,2,4,2,1,15,7,22,No,Postpubertal,Female
L5-F56-CRE,0,15,1,6,3,0,16,9,25,No,Postpubertal,Female
L5-F56-CRE,0,5,1,5,2,0,6,7,13,No,Postpubertal,Female
L5-F56-CRE,0,10,0,3,5,2,10,10,20,No,Postpubertal,Female
L5-F56-CRE,2,7,1,7,4,0,10,11,21,No,Postpubertal,Female
L5-F56-CRE,0,4,0,1,3,1,4,5,9,No,Postpubertal,Female
L5-F56-CRE,0,2,0,0,0,0,2,0,2,No,Postpubertal,Female
L5-F56-CRE,0,4,0,0,1,0,4,1,5,No,Postpubertal,Female
L5-F56-CRE,0,1,0,0,2,0,1,2,3,No,Postpubertal,Female
L5-F56-CRE,0,4,0,0,3,0,4,3,7,No,Postpubertal,Female
L5-F56-CRE,2,4,3,4,2,0,9,6,15,No,Postpubertal,Female
L5-F56-CRE,0,5,1,2,3,0,6,5,11,No,Postpubertal,Female
L5-F56-CRE,0,2,1,4,5,1,3,10,13,No,Postpubertal,Female
L5-F56-CRE,0,1,1,6,4,0,2,10,12,No,Postpubertal,Female
L5-F56-CRE,0,5,3,6,2,1,8,9,17,No,Postpubertal,Female
L5-F56-CRE,0,3,4,1,1,0,7,2,9,No,Postpubertal,Female
L5-F56-CRE,2,4,2,3,3,0,8,6,14,No,Postpubertal,Female
L5-F56-CRE,1,7,2,4,4,1,10,9,19,No,Postpubertal,Female
L5-F56-CRE,3,8,4,8,1,0,15,9,24,No,Postpubertal,Female
L5-F56-CRE,1,4,1,5,2,1,6,8,14,No,Postpubertal,Female
L5-F56-CRE,2,9,2,9,4,0,13,13,26,No,Postpubertal,Female
L5-F56-CRE,0,10,0,3,4,0,10,7,17,No,Postpubertal,Female
L5-F56-CRE,0,2,0,1,4,0,2,5,7,No,Postpubertal,Female
L5-F56-CRE,0,3,1,4,1,0,4,5,9,No,Postpubertal,Female
L5-F56-CRE,0,8,2,4,3,0,10,7,17,No,Postpubertal,Female
L5-F56-CRE,0,5,1,6,2,1,6,9,15,No,Postpubertal,Female
L5-F56-CRE,0,5,4,1,2,0,9,3,12,No,Postpubertal,Female
L5-F56-CRE,0,5,0,0,2,0,5,2,7,No,Postpubertal,Female
L5-F56-CRE,0,6,3,1,1,0,9,2,11,No,Postpubertal,Female
L5-F56-CRE,0,3,0,3,3,0,3,6,9,No,Postpubertal,Female
L5-F56-CRE,0,1,0,1,1,0,1,2,3,No,Postpubertal,Female
L5-F56-GFP,0,3,0,0,0,0,3,0,3,Yes,Postpubertal,Female
L5-F56-GFP,0,2,0,2,2,0,2,4,6,Yes,Postpubertal,Female
L5-F56-GFP,1,5,1,1,1,1,7,3,10,Yes,Postpubertal,Female
L5-F56-GFP,0,7,0,0,2,0,7,2,9,Yes,Postpubertal,Female
L5-F56-GFP,0,3,0,2,3,0,3,5,8,Yes,Postpubertal,Female
L5-F56-GFP,0,3,0,2,4,0,3,6,9,Yes,Postpubertal,Female
L5-F56-GFP,0,1,1,3,3,1,2,7,9,Yes,Postpubertal,Female
L5-F56-GFP,0,3,0,4,3,0,3,7,10,Yes,Postpubertal,Female
L5-F56-GFP,0,6,0,2,2,0,6,4,10,Yes,Postpubertal,Female
L5-F56-GFP,1,1,1,2,1,1,3,4,7,Yes,Postpubertal,Female
L5-F56-GFP,0,3,0,0,1,0,3,1,4,Yes,Postpubertal,Female
L5-F56-GFP,0,4,0,1,2,0,4,3,7,Yes,Postpubertal,Female
L5-F56-GFP,1,2,1,1,5,1,4,7,11,Yes,Postpubertal,Female
L5-F56-GFP,0,3,0,2,0,0,3,2,5,Yes,Postpubertal,Female
L5-F56-GFP,0,1,1,5,0,1,2,6,8,Yes,Postpubertal,Female
L5-F56-GFP,0,1,0,0,2,0,1,2,3,Yes,Postpubertal,Female
L5-F56-GFP,0,2,0,0,1,0,2,1,3,Yes,Postpubertal,Female
L5-F56-GFP,0,2,1,2,3,1,3,6,9,Yes,Postpubertal,Female
L5-F56-GFP,0,4,0,1,1,0,4,2,6,Yes,Postpubertal,Female
L5-F56-GFP,0,1,0,2,2,0,1,4,5,Yes,Postpubertal,Female
L5-F56-GFP,0,3,1,0,1,1,4,2,6,Yes,Postpubertal,Female
L5-F56-GFP,0,3,0,1,0,0,3,1,4,Yes,Postpubertal,Female
L5-F56-GFP,0,7,0,1,2,0,7,3,10,Yes,Postpubertal,Female
L5-F56-GFP,0,0,0,2,1,0,0,3,3,Yes,Postpubertal,Female
L5-F56-GFP,0,3,0,0,0,0,3,0,3,Yes,Postpubertal,Female
L5-F56-GFP,0,3,0,2,2,0,3,4,7,Yes,Postpubertal,Female
L5-F56-GFP,0,4,1,1,2,1,5,4,9,Yes,Postpubertal,Female
L5-F56-GFP,0,2,0,0,2,0,2,2,4,Yes,Postpubertal,Female
L5-F56-GFP,0,2,0,1,2,0,2,3,5,Yes,Postpubertal,Female
L5-F56-GFP,0,3,2,0,1,2,5,3,8,Yes,Postpubertal,Female
L5-F56-GFP,0,6,1,2,2,1,7,5,12,Yes,Postpubertal,Female
L5-F56-GFP,0,0,0,2,1,0,0,3,3,Yes,Postpubertal,Female
L5-F56-GFP,0,5,0,1,4,0,5,5,10,Yes,Postpubertal,Female
L5-F56-GFP,0,5,0,1,2,0,5,3,8,Yes,Postpubertal,Female
L5-F56-GFP,1,1,1,1,2,1,3,4,7,Yes,Postpubertal,Female
L5-F56-GFP,0,1,0,1,1,0,1,2,3,Yes,Postpubertal,Female
L5-F56-GFP,0,6.990131579,3.289473684,0.822368421,1.233552632,0.822368421,10.27960526,2.878289474,13.15789474,Yes,Postpubertal,Female
L5-KO35-F,2.407704655,5.718298555,5.417335474,3.3105939,0.902889246,0.300963082,13.54333868,4.514446228,18.05778491,No,Pubertal,Female
L5-KO35-F,0.231857176,5.564572224,1.623000232,2.086714584,1.391143056,0.231857176,7.419429631,3.709714816,11.12914445,No,Pubertal,Female
L5-KO35-F,0.862874811,6.040123679,1.941468325,1.078593514,0.862874811,0.862874811,8.844466815,2.804343137,11.64880995,No,Pubertal,Female
L5-KO35-F,0.238777459,8.357211079,5.014326648,2.387774594,0.955109838,0,13.61031519,3.342884432,16.95319962,No,Pubertal,Female
L5-KO35-F,1.036001036,8.029008029,5.698005698,0.518000518,0,0.259000259,14.76301476,0.777000777,15.54001554,No,Pubertal,Female
L5-KO35-F,0.99575146,4.580456718,1.593202337,2.389803505,0,0.398300584,7.169410515,2.788104089,9.957514604,No,Pubertal,Female
L5-KO35-F,0.605489774,5.247578041,2.018299247,1.816469322,1.009149623,0.201829925,7.871367061,3.02744887,10.89881593,No,Pubertal,Female
L5-KO35-F,0,4.420296528,5.249102127,2.210148264,1.657611198,0.552537066,9.669398655,4.420296528,14.08969518,No,Pubertal,Female
L5-KO35-F,1.691570341,2.748801804,3.17169439,4.440372145,2.114462926,0.422892585,7.612066535,6.977727657,14.58979419,No,Pubertal,Female
L5-KO35-F,1.214870009,4.616506034,3.887584029,4.859480036,1.700818012,0.485948004,9.718960071,7.046246052,16.76520612,No,Pubertal,Female
L5-KO35-F,0,2.055921053,1.644736842,0,0.411184211,0,3.700657895,0.411184211,4.111842105,No,Pubertal,Female
L5-KO35-F,0,3.3105939,0.902889246,0.300963082,1.203852327,0,4.213483146,1.504815409,5.718298555,No,Pubertal,Female
L5-KO35-F,0,6.028286575,0.927428704,0,0,0.463714352,6.955715279,0.463714352,7.419429631,No,Pubertal,Female
L5-KO35-F,0,6.687279787,0.647156108,0.215718703,1.941468325,0,7.334435896,2.157187028,9.491622924,No,Pubertal,Female
L5-KO35-F,0,3.104106972,2.626552053,0.716332378,0.716332378,0,5.730659026,1.432664756,7.163323782,No,Pubertal,Female
L5-KO35-F,0.259000259,4.403004403,0.518000518,0,0.777000777,0,5.18000518,0.777000777,5.957005957,No,Pubertal,Female
L5-KO35-F,0,3.983005842,0.99575146,0.597450876,0.199150292,0,4.978757302,0.796601168,5.775358471,No,Pubertal,Female
L5-KO35-F,0.201829925,1.816469322,0.403659849,0.403659849,0.201829925,0.201829925,2.421959096,0.807319699,3.229278794,No,Pubertal,Female
L5-KO35-F,0.552537066,5.52537066,0.552537066,1.657611198,0.552537066,0.276268533,6.630444792,2.486416797,9.116861589,No,Pubertal,Female
L5-KO35-F,0,1.691570341,1.268677756,0.211446293,0.422892585,0.211446293,2.960248097,0.845785171,3.806033268,No,Pubertal,Female
L5-KO35-F,0.485948004,2.429740018,1.943792014,1.214870009,1.214870009,0.242974002,4.859480036,2.67271402,7.532194055,No,Pubertal,Female
L5-KO35-F,4,4,0,6,1,1,8,8,16,No,Pubertal,Female
L5-KO35-F,1,2,1,4,3,0,4,7,11,No,Pubertal,Female
L5-KO35-F,1,3,0,6,0,1,4,7,11,No,Pubertal,Female
L5-KO35-F,4,5,2,3,3,1,11,7,18,No,Pubertal,Female
L5-KO35-F,3,2,2,6,3,0,7,9,16,No,Pubertal,Female
L5-KO35-F,0,6,0,7,4,0,6,11,17,No,Pubertal,Female
L5-KO35-F,1,0,1,8,2,0,2,10,12,No,Pubertal,Female
L5-KO35-F,1,2,0,5,6,0,3,11,14,No,Pubertal,Female
L5-KO35-F,2,5,2,6,3,0,9,9,18,No,Pubertal,Female
L5-KO35-M,0,4,3,4,0,0,7,4,11,No,Pubertal,Male
L5-KO35-M,0,8,3,4,1,1,11,6,17,No,Pubertal,Male
L5-KO35-M,0,1,4,5,0,0,5,5,10,No,Pubertal,Male
L5-KO35-M,1,3,3,2,3,0,7,5,12,No,Pubertal,Male
L5-KO35-M,0,4,1,4,1,0,5,5,10,No,Pubertal,Male
L5-KO35-M,1,6,4,2,3,0,11,5,16,No,Pubertal,Male
L5-KO35-M,1,2,4,2,0,1,7,3,10,No,Pubertal,Male
L5-KO35-M,0,3,1,2,2,1,4,5,9,No,Pubertal,Male
L5-KO35-M,0,7,2,1,1,0,9,2,11,No,Pubertal,Male
L5-KO35-M,3,9,1,3,3,0,13,6,19,No,Pubertal,Male
L5-KO35-M,1,5,2,1,1,0,8,2,10,No,Pubertal,Male
L5-KO35-M,1,5,2,4,2,0,8,6,14,No,Pubertal,Male
L5-KO35-M,0,2,1,4,4,0,3,8,11,No,Pubertal,Male
L5-KO35-M,0,8,1,4,1,1,9,6,15,No,Pubertal,Male
L5-KO35-M,0,4,1,6,1,0,5,7,12,No,Pubertal,Male
L5-KO35-M,0,4,3,8,1,0,7,9,16,No,Pubertal,Male
L5-KO35-M,0,1,1,3,1,0,2,4,6,No,Pubertal,Male
L5-KO35-M,0,2,1,1,0,0,3,1,4,No,Pubertal,Male
L5-KO35-M,0,2,2,3,1,0,4,4,8,No,Pubertal,Male
L5-KO35-M,1,1,0,1,0,0,2,1,3,No,Pubertal,Male
L5-KO35-M,0,9,3,4,3,0,12,7,19,No,Pubertal,Male
L5-KO35-M,1,5,2,1,4,0,8,5,13,No,Pubertal,Male
L5-KO35-M,2,2,3,1,1,0,7,2,9,No,Pubertal,Male
L5-KO35-M,1,7,0,1,4,0,8,5,13,No,Pubertal,Male
L5-KO35-M,1,5,4,3,3,0,10,6,16,No,Pubertal,Male
L5-KO35-M,0,10,3,2,0,0,13,2,15,No,Pubertal,Male
L5-KO35-M,2,8,1,4,4,0,11,8,19,No,Pubertal,Male
L5-KO35-M,1,8,2,1,1,0,11,2,13,No,Pubertal,Male
L5-KO35-M,1,11,3,2,3,1,15,6,21,No,Pubertal,Male
L5-KO35-M,0,4,2,2,3,0,6,5,11,No,Pubertal,Male
L5-KO35-M,0,10,1,1,2,0,11,3,14,No,Pubertal,Male
L5-KO35-M,0,6,4,5,1,1,10,7,17,No,Pubertal,Male
L5-KO35-M,0,2,1,7,0,0,3,7,10,No,Pubertal,Male
L5-KO35-M,0,3,4,2,0,0,7,2,9,No,Pubertal,Male
L5-KO35-M,0,5,2,0,0,1,7,1,8,No,Pubertal,Male
L5-KO35-M,0,3,5,1,2,0,8,3,11,No,Pubertal,Male
L5-KO35-M,4,7,0,0,0,5,11,5,16,No,Pubertal,Male
L5-KO35-M,2,0,5,1,0,6,7,7,14,No,Pubertal,Male
L5-KO35-M,4,3,1,0,0,9,8,9,17,No,Pubertal,Male
L5-KO35-M,3,2,0,1,1,11,5,13,18,No,Pubertal,Male
L5-KO35-M,2,2,1,1,0,4,5,5,10,No,Pubertal,Male
L5-KO35-M,2,3,0,0,5,14,5,19,24,No,Pubertal,Male
L5-KO56-F,1.455099778,2.910199557,2.078713969,0.623614191,0.415742794,0,6.444013304,1.039356984,7.483370288,No,Postpubertal,Female
L5-KO56-F,0,2.872875269,0.239406272,0.718218817,0.95762509,0,3.112281542,1.675843907,4.788125449,No,Postpubertal,Female
L5-KO56-F,0,0.972762646,0.972762646,0.324254215,0.648508431,0,1.945525292,0.972762646,2.918287938,No,Postpubertal,Female
L5-KO56-F,0,1.629106706,0,0,2.036383383,0,1.629106706,2.036383383,3.66549009,No,Postpubertal,Female
L5-KO56-F,0.235941801,3.539127015,0,0.471883602,0.707825403,0,3.775068816,1.179709005,4.954777821,No,Postpubertal,Female
L5-KO56-F,0,2.459016393,0.983606557,0.983606557,0,0,3.442622951,0.983606557,4.426229508,No,Postpubertal,Female
L5-KO56-F,0.474946569,1.424839706,0.237473284,0.949893137,0.949893137,0,2.137259558,1.899786274,4.037045832,No,Postpubertal,Female
L5-KO56-F,0,1.882766411,0,0.753106565,0.376553282,0,1.882766411,1.129659847,3.012426258,No,Postpubertal,Female
L5-KO56-F,0.461077384,3.688619073,1.613770845,1.383232152,1.383232152,0,5.763467302,2.766464305,8.529931607,No,Postpubertal,Female
L5-KO56-F,0,1.374727918,0.34368198,0.34368198,0.34368198,0,1.718409898,0.687363959,2.405773857,No,Postpubertal,Female
L5-KO56-F,0.547945205,3.561643836,1.643835616,1.369863014,0.547945205,0.547945205,5.753424658,2.465753425,8.219178082,No,Postpubertal,Female
L5-KO56-F,0.623614191,5.820399113,2.70232816,2.70232816,1.039356984,0.415742794,9.146341463,4.157427938,13.3037694,No,Postpubertal,Female
L5-KO56-F,0.718218817,3.591094087,2.872875269,0.478812545,0.239406272,0.718218817,7.182188173,1.436437635,8.618625808,No,Postpubertal,Female
L5-KO56-F,0.324254215,3.566796368,4.539559014,2.594033722,1.621271077,0.324254215,8.430609598,4.539559014,12.97016861,No,Postpubertal,Female
L5-KO56-F,0,2.036383383,1.629106706,1.22183003,0.814553353,0.407276677,3.66549009,2.44366006,6.109150149,No,Postpubertal,Female
L5-KO56-F,0.235941801,1.179709005,0.707825403,0.235941801,0.943767204,0,2.123476209,1.179709005,3.303185214,No,Postpubertal,Female
L5-KO56-F,1.721311475,4.426229508,2.459016393,1.475409836,0.737704918,0.491803279,8.606557377,2.704918033,11.31147541,No,Postpubertal,Female
L5-KO56-F,0.474946569,4.274519117,1.899786274,1.424839706,0.712419853,0,6.649251959,2.137259558,8.786511517,No,Postpubertal,Female
L5-KO56-F,1.882766411,3.765532823,1.506213129,0.753106565,1.506213129,0,7.154512363,2.259319694,9.413832057,No,Postpubertal,Female
L5-KO56-F,0,5.994005994,2.535925613,1.383232152,0.691616076,0.230538692,8.529931607,2.305386921,10.83531853,No,Postpubertal,Female
L5-KO56-F,0,2.405773857,5.155229694,4.467865735,1.374727918,0.687363959,7.561003551,6.529957613,14.09096116,No,Postpubertal,Female
L5-KO56-F,0.273972603,5.479452055,3.561643836,2.465753425,1.369863014,0.547945205,9.315068493,4.383561644,13.69863014,No,Postpubertal,Female
L5-KO56-F,2,2,0,8,2,0,4,10,14,No,Postpubertal,Female
L5-KO56-F,2,1,3,6,2,1,6,9,15,No,Postpubertal,Female
L5-KO56-F,3,0,1,12,0,0,4,12,16,No,Postpubertal,Female
L5-KO56-F,0,1,0,10,4,0,1,14,15,No,Postpubertal,Female
L5-KO56-F,3.11807,14.34313,6.65188,4.3653,2.87829,1.23355,24.11308,8.47714,32.59022,No,Postpubertal,Female
L5-KO56-F,1.67584,10.77328,5.02753,2.87288,3.61156,1.20385,17.47665,7.68829,25.16494,No,Postpubertal,Female
L5-KO56-F,0.64851,7.7821,8.43061,4.2153,2.31857,1.15929,16.86122,7.69316,24.55438,No,Postpubertal,Female
L5-KO56-F,0,6.51643,2.03638,2.03638,3.23578,1.07859,8.55281,6.35075,14.90356,No,Postpubertal,Female
L5-KO56-F,1.17971,9.67361,1.41565,0.94377,1.91022,0,12.26897,2.85399,15.12296,No,Postpubertal,Female
L5-KO56-F,1.72131,11.80328,5.40984,3.68852,1.813,0.518,18.93443,6.01952,24.95395,No,Postpubertal,Female
L5-KO56-F,1.18737,9.02398,3.32463,4.03705,1.5932,0.59745,13.53598,6.2277,19.76368,No,Postpubertal,Female
L5-KO56-F,3.01243,7.90762,3.38898,3.01243,3.22928,0.80732,14.30903,7.04903,21.35806,No,Postpubertal,Female
L5-KO56-F,0.92215,15.21555,5.07185,4.61077,2.76269,1.38134,21.20955,8.7548,29.96435,No,Postpubertal,Female
L5-KO56-F,0.34368,6.18628,7.561,6.52996,4.22893,0.63434,14.09096,11.39323,25.48419,No,Postpubertal,Female
L5-KO56-F,1.64384,12.32877,6.0274,4.65753,5.5884,0.9719,20.00001,11.21783,31.21784,No,Postpubertal,Female
L5-KO56-M,0,6,2,3,1,0,8,4,12,No,Postpubertal,Female
L5-KO56-M,1,6,0,2,0,2,7,4,11,No,Postpubertal,Male
L5-KO56-M,1,7,0,3,2,1,8,6,14,No,Postpubertal,Male
L5-KO56-M,0,2,1,4,3,0,3,7,10,No,Postpubertal,Male
L5-KO56-M,1,8,2,4,1,1,11,6,17,No,Postpubertal,Male
L5-KO56-M,0,1,1,2,2,0,2,4,6,No,Postpubertal,Male
L5-KO56-M,0,5,0,1,3,1,5,5,10,No,Postpubertal,Male
L5-KO56-M,0,3,2,2,1,0,5,3,8,No,Postpubertal,Male
L5-KO56-M,0,4,0,0,2,0,4,2,6,No,Postpubertal,Male
L5-KO56-M,0,6,0,1,2,0,6,3,9,No,Postpubertal,Male
L5-KO56-M,1,1,0,2,2,0,2,4,6,No,Postpubertal,Male
L5-KO56-M,2,5,0,0,3,2,7,5,12,No,Postpubertal,Male
L5-KO56-M,0,3,1,7,2,0,4,9,13,No,Postpubertal,Male
L5-KO56-M,1,3,0,5,2,0,4,7,11,No,Postpubertal,Male
L5-KO56-M,1,3,1,2,2,0,5,4,9,No,Postpubertal,Male
L5-KO56-M,1,3,1,5,2,0,5,7,12,No,Postpubertal,Male
L5-KO56-M,0,5,2,2,1,0,7,3,10,No,Postpubertal,Male
L5-KO56-M,2,9,1,3,3,0,12,6,18,No,Postpubertal,Male
L5-KO56-M,1,9,0,0,2,1,10,3,13,No,Postpubertal,Male
L5-KO56-M,0,7,3,2,1,0,10,3,13,No,Postpubertal,Male
L5-KO56-M,0,3,0,4,3,1,3,8,11,No,Postpubertal,Male
L5-KO56-M,0,4,3,0,1,0,7,1,8,No,Postpubertal,Male
L5-KO56-M,0,8,0,1,5,0,8,6,14,No,Postpubertal,Male
L5-KO56-M,0,5,0,4,2,0,5,6,11,No,Postpubertal,Male
L5-KO56-M,1,9,0,3,0,0,10,3,13,No,Postpubertal,Male
